OSMadre,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
505900862300,TR,D11T,DESPACHO,2020-10-15,2021-01-29 00:00:00,2021-01-25,3523191EX,CRA11779,GEB00378,Evento,Overhaul,14977.0
505900862400,MF,797B,TERMINADO,2020-10-16,2020-10-31 00:00:00,2020-10-31,0R9814,DWT00260,JSM00182,Programado,Proceso Continuo,21089.0
505900862500,MA,797B,DESPACHO,2020-10-15,2020-11-30 00:00:00,2020-11-26,1925826EX,CRA11782,JSM00248,Evento,Overhaul,17010.0
505900862600,MF,797B,DESPACHO,2020-10-15,2020-12-19 00:00:00,2020-12-19,0R9814,DWT00250,JSM00444,Programado,Overhaul,15535.0
505900863000,DI,797F,DESPACHO,2020-10-17,2020-12-19 00:00:00,2020-11-30,2912627EX,325813915,LAJ00473,Programado,Overhaul,24252.0
505900863100,TR,797B,DESPACHO,2020-10-17,2020-12-15 00:00:00,2020-11-30,0R9813,10289196,JSM00234,Programado,Overhaul,14213.0
505900867500,DI,797F,DESPACHO,2020-10-20,2020-12-20 00:00:00,2020-11-30,2912627EX,3210422085,LAJ00230,Programado,Overhaul,21081.0
505900864800,MO,797F,DESPACHO,2020-10-20,2021-01-18 00:00:00,2020-12-31,20R7015,RMR00114,LAJ00250,Programado,Overhaul,10076.0
505900869300,MA,797F,DESPACHO,2020-10-22,2020-11-04 00:00:00,2020-11-04,2922171EX,CRA07943,LAJ00263,Programado,Proceso Continuo,11342.0
505900869600,TR,D11T,DESPACHO,2020-10-22,2021-02-08 00:00:00,2021-01-28,3041817,CRA11376,GEB01012,Programado,Overhaul,12007.0
505900895800,TR,797B,DESPACHO,2020-11-09,2021-02-05 00:00:00,2021-02-05,0R9813,10327339,JSM00294,Evento,Overhaul,1866.0
505900872800,MA,797F,DESPACHO,2020-11-13,2021-02-28 00:00:00,2021-02-25,2922171EX,420113088,LAJ00163,Evento,Overhaul,3026.0
