OS,cliente,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
505900997901,CONTRATO RADOMIRO TOMIC,CO,D11T,DESPACHO,2021-02-17,2021-04-15 00:00:00,2021-04-15,0R4097.000,310114209,GEB,Evento,Overhaul,1.0
505901001901,INTERCAMBIO O INTERNO CRC,MF,797F,DESPACHO,2021-02-22,2021-03-27 00:00:00,2021-04-01,0R9814.505,505328,LAJ00185,Programado,Proceso Continuo,15000.0
505901076201,MINERA ESCONDIDA LTDA.,MO,D11R,DESPACHO,2021-02-18,2021-10-22 00:00:00,2021-10-13,1555556,C8T02825,7PZ00890,Evento,Puntual,0.0
505901033501,INTERCAMBIO O INTERNO CRC,MO,797F,DESPACHO,2021-02-18,2021-07-30 00:00:00,2021-07-30,20R7015.00,LLM01498,LAJ00263,,Overhaul,1070.0
505901012401,CIA.MINERA TECK QUEBRADA BLANCA S.A,DI,834H,DESPACHO,2021-02-19,2021-05-16 00:00:00,2021-05-07,1378851,325814282,BTX01026,Evento,Overhaul,25229.0
505901012301,CIA.MINERA TECK QUEBRADA BLANCA S.A,DI,834H,DESPACHO,2021-02-19,2021-06-03 00:00:00,2021-06-03,1378851,325814309,BTX01026,Evento,Overhaul,25229.0
505901044601,MINERA ESCONDIDA LTDA.,TR,777G,DESPACHO,2021-03-23,2021-06-22 00:00:00,2021-06-22,20R3956.000,GGG01313,T4Y00163,Evento,Overhaul,10340.0
505901003401,COMPANIA MINERA LOMAS BAYAS,DI,834K,DESPACHO,2021-02-22,2021-06-18 00:00:00,2021-06-18,1378851,325814389,LWY00706,Evento,Overhaul,18664.0
505901003001,INTERCAMBIO O INTERNO CRC,TR,D11T,DESPACHO,2021-02-23,2021-04-15 00:00:00,2021-04-12,3523191EX.505,301114210,GEB00823,Evento,Overhaul,0.0
505901008501,INTERCAMBIO O INTERNO CRC,DI,797B,DESPACHO,2021-03-08,2021-06-10 00:00:00,2021-06-10,2912627EX.505,SIN SERIE,JSM00416,Programado,Overhaul,26895.0
505901012101,INTERCAMBIO O INTERNO CRC,DI,797F,DESPACHO,2021-02-26,2021-05-24 00:00:00,2021-05-19,2912627EX.505,3280512089,LAJ00498,Programado,Overhaul,23071.0
505901005401,INTERCAMBIO O INTERNO CRC,TR,994F,DESPACHO,2021-02-22,2021-04-18 00:00:00,2021-04-18,20R4400.000,303014204,44200266,Evento,Overhaul,150.0
505901005501,INTERCAMBIO O INTERNO CRC,TR,797F,DESPACHO,2021-02-22,2021-06-13 00:00:00,2021-06-11,20R8719.000,MNY00447,LAJ00247,Evento,Overhaul,17634.0
505901013401,MINERA ANTUCOYA,MO,854K,DESPACHO,2021-02-22,2021-05-31 00:00:00,2021-05-31,3402665,MZM00511,H9K00340,Evento,Tarifa Fija,19875.0
505901012501,INTERCAMBIO O INTERNO CRC,MF,797B,DESPACHO,2021-02-23,2021-05-30 00:00:00,2021-05-30,0R9814.505,10140479,JSM00294,Evento,Overhaul,2475.0
505901027101,INTERCAMBIO O INTERNO CRC,MA,797F,TERMINADO,2021-02-22,2021-04-30 00:00:00,2021-04-20,2922171EX.505,CRA11543,LAJ00257,Evento,Overhaul,4078.0
505901005201,INTERCAMBIO O INTERNO CRC,TR,D10T,DESPACHO,2021-02-22,2021-04-05 00:00:00,2021-03-29,10R5292.000,DRL02195,RJG01706,Evento,Overhaul,13615.0
505901010001,INTERCAMBIO O INTERNO CRC,CO,797F,DESPACHO,2021-02-22,2021-04-04 00:00:00,2021-03-29,20R0132.505,10246816,LAJ00654,Evento,Overhaul,90.0
505901006301,INTERCAMBIO O INTERNO CRC,MA,793F,DESPACHO,2021-03-09,2021-06-30 00:00:00,2021-06-17,2955706SML.505,CRA11466,SSP00443,Evento,Overhaul,22045.0
