NPersonal,estadoFinalizado,calificacion,puntaje,IDCurso
3485764,1,,0.0,FPSMINEND1
3485764,1,,0.0,FPSMINEND1
3485764,1,,0.0,FPSMINEND1
3485764,1,,0.0,FPSMINEND1
3484397,1,,0.0,FPSMINEND1
3477848,0,,0.0,FPSMINEND1
3482308,0,,0.0,FPSMINEND5
3484134,0,,0.0,FPSMINEND5
3483814,0,,0.0,FPSMINEND5
3483834,0,,0.0,FPSMINEND4
3482703,0,,0.0,FPSMINEND4
3482308,1,,0.0,FPSMINEND4
3483833,0,,0.0,FPSMINEND4
3479202,0,,0.0,FPSMIN3
3479002,0,,0.0,FPSMINPALOK3
3480579,0,,0.0,FPSMINTT5
3479002,1,Apto,85.0,HME2118
3480123,1,Apto,90.0,HME2118
3481247,1,Apto,80.0,HME2118
3479445,1,Apto,75.0,HME2118
3479131,1,Apto,85.0,HME2118
3479164,1,Apto,80.0,HME2118
3479164,1,No apto,30.0,HME2118
3478962,1,Apto,80.0,CT0196
3481247,1,Apto,90.0,CME0970
3484033,1,Apto,89.0,CME0970
3481217,1,Apto,91.0,CME0970
3479002,1,Apto,97.0,CME0970
3484056,0,No apto,0.0,CME0970
3479202,1,Apto,75.0,CMEF15A0092
3481247,1,Apto,91.0,CME0080
3479131,1,Apto,91.0,CME0080
3480211,1,Apto,86.0,CME0080
3482894,1,Apto,100.0,HME2092
3484587,1,Apto,70.0,HME2092
3483833,1,Apto,93.0,HME2092
3483834,1,Apto,74.0,HME2092
3483834,1,Apto,91.0,DIT-001
3482703,1,Apto,82.0,DIT-001
3482577,1,Apto,91.0,DIT-001
3481217,1,Apto,100.0,DIT-001
3484067,1,Apto,82.0,DIT-001
3479459,1,Apto,82.0,DIT-001
3479202,1,Apto,82.0,DIT-001
3477873,1,Apto,82.0,DIT-001
3480201,1,Apto,91.0,DIT-001
3482577,1,Apto,100.0,DIT-001
3483834,1,Apto,82.0,DIT-001
3482703,1,Apto,91.0,DIT-001
3481217,1,Apto,100.0,DIT-001
3488758,1,Apto,82.0,DIT-001
3485764,0,,0.0,DIT-001
3480201,1,Apto,100.0,DIT-001
3482308,0,,0.0,DIT-001
3482354,0,,0.0,DIT-001
3482577,1,Apto,80.0,DIT-001
3482703,1,Apto,100.0,DIT-001
3482808,1,Apto,100.0,DIT-001
3482847,0,,0.0,DIT-001
3482863,0,,0.0,DIT-001
3482894,0,,0.0,DIT-001
3478927,0,,0.0,DIT-001
3478962,0,,0.0,DIT-001
3479002,0,,0.0,DIT-001
3479009,0,,0.0,DIT-001
3483156,0,,0.0,DIT-001
