OSMadre,Orden,costoRepuesto,costoMO,costoTTA,costoTotal,wip
505900461400,505900461407,0.0,0.0,0.0,0.0,0
505900461400,505900461408,0.0,0.0,0.0,0.0,0
505900461500,505900461501,3764.5,1283.34,1853.5,11775.62,84
505900461500,505900461502,49938.24,5988.3,0.0,55926.54,77
505900461500,505900461503,0.0,0.0,0.0,0.0,0
505900461500,505900461504,0.0,0.0,0.0,0.0,0
505900461500,505900461505,0.0,0.0,0.0,0.0,0
505900461500,505900461506,0.0,0.0,0.0,0.0,0
505900461500,505900461507,0.0,0.0,0.0,0.0,0
505900461500,505900461508,0.0,0.0,114.7,114.7,98
505900461700,505900461701,131936.26,7533.26,250.9,139720.42,85
505900461700,505900461702,0.0,0.0,0.0,0.0,0
505900461700,505900461703,0.0,0.0,0.0,0.0,0
505900461700,505900461704,0.0,0.0,0.0,0.0,0
505900461700,505900461705,231.56,0.0,0.0,231.56,13
505900461700,505900461706,0.0,0.0,0.0,0.0,0
505900461700,505900461707,0.0,0.0,0.0,0.0,0
505900465500,505900465501,22299.8,2585.87,0.0,26081.1,85
505900465500,505900465502,0.0,0.0,0.0,0.0,0
505900465500,505900465503,0.0,0.0,0.0,0.0,0
505900465500,505900465504,0.0,0.0,0.0,0.0,0
505900465500,505900465505,0.0,0.0,0.0,0.0,0
505900465500,505900465506,0.0,0.0,0.0,0.0,0
505900465500,505900465507,0.0,0.0,0.0,0.0,0
505900465500,505900465508,0.0,0.0,0.0,0.0,0
505900467400,505900467401,2870.91,1239.45,11219.98,17290.52,93
505900467400,505900467402,74667.3,5946.85,0.0,80614.15,88
505900467400,505900467403,0.0,0.0,0.0,0.0,0
505900467400,505900467404,0.0,0.0,0.0,0.0,0
505900467400,505900467405,0.0,0.0,0.0,0.0,0
505900467400,505900467406,0.0,0.0,0.0,0.0,0
505900467400,505900467407,0.0,0.0,0.0,0.0,0
505900467400,505900467408,0.0,0.0,1029.17,1029.17,51
505900467500,505900467501,26369.27,6389.2,62.92,33066.93,82
505900467500,505900467502,0.0,0.0,0.0,0.0,0
505900467500,505900467503,254.07,0.0,0.0,254.07,72
505900467500,505900467504,0.0,0.0,0.0,0.0,0
505900467500,505900467505,0.0,0.0,0.0,0.0,0
505900467500,505900467506,0.0,0.0,0.0,0.0,0
505900467500,505900467507,0.0,0.0,0.0,0.0,0
505900467500,505900467508,0.0,0.0,0.0,0.0,0
505900467600,505900467601,31899.38,6302.81,1407.0,42331.01,93
505900467600,505900467602,0.0,0.0,0.0,0.0,0
505900467600,505900467603,0.0,0.0,0.0,0.0,0
505900467600,505900467604,0.0,0.0,0.0,0.0,0
505900467600,505900467605,0.0,0.0,0.0,0.0,0
505900467600,505900467606,0.0,0.0,0.0,0.0,0
505900467600,505900467607,0.0,0.0,0.0,0.0,0
505900467600,505900467608,0.0,0.0,893.16,893.16,70
505900467800,505900467801,43338.17,6338.54,0.0,49902.12,127
505900467800,505900467802,0.0,0.0,0.0,0.0,0
505900467800,505900467803,80.4,0.0,0.0,80.4,119
505900467800,505900467804,0.0,0.0,0.0,0.0,0
505900467800,505900467805,1085.71,0.0,0.0,1085.71,182
505900467800,505900467806,0.0,0.0,0.0,0.0,0
505900467800,505900467807,0.0,0.0,0.0,0.0,0
505900467800,505900467808,0.0,0.0,0.0,0.0,0
505900468500,505900468501,38592.53,5812.02,0.0,46932.25,86
505900468500,505900468502,0.0,0.0,0.0,0.0,0
505900468500,505900468503,538.19,0.0,0.0,538.19,73
505900468500,505900468504,0.0,0.0,0.0,0.0,0
505900468500,505900468505,0.0,0.0,0.0,0.0,0
505900468500,505900468506,0.0,0.0,0.0,0.0,0
505900468500,505900468507,0.0,0.0,0.0,0.0,0
505900468500,505900468508,0.0,0.0,0.0,0.0,0
505900468600,505900468601,43823.04,5921.76,0.0,50026.55,104
