Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;Cart JRP,10R-981;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
353-7952;1;1274;Grommet;259-3112;Lines GP-Fuel;CCR DESARME;;;
353-7954;6;1274;Grommet;259-3112;Lines GP-Fuel;CCR DESARME;;;
3G-8047;1;1274;Grommet;259-3112;Lines GP-Fuel;CCR DESARME;;;
217-5449;1;1274;Spacer;259-3112;Lines GP-Fuel;CCR DESARME;;;
126-2702;2;1052;Seal-Integral;217-5677;Lines GP-Turbocharger Oil;CCR DESARME;;;
198-6068;2;1052;Seal-Integral;217-5677;Lines GP-Turbocharger Oil;CCR DESARME;;;
106-9586;1;1052;Seal-O-Ring;217-5677;Lines GP-Turbocharger Oil;CCR DESARME;;;
112-3540;2;1052;Seal-O-Ring;217-5677;Lines GP-Turbocharger Oil;CCR DESARME;;;
228-7091;2;1052;Seal-O-Ring;217-5677;Lines GP-Turbocharger Oil;CCR DESARME;;;
238-5081;2;1052;Seal-O-Ring;217-5677;Lines GP-Turbocharger Oil;CCR DESARME;;;
5P-5846;2;1052;Seal-O-Ring;217-5677;Lines GP-Turbocharger Oil;CCR DESARME;;;
248-5513;2;1380;Regulator-Water Temperature;238-7590;Lines GP-Water;CCR DESARME;;;
231-4708;5;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
111-4374;1;1380;Valve AS;238-7590;Lines GP-Water;CCR DESARME;;;
3B-0622;1;1380;Plug-Cup;238-7590;Lines GP-Water;CCR DESARME;;;
3S-9643;2;1380;Seal-Lip Type;238-7590;Lines GP-Water;CCR DESARME;;;
107-5769;2;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
109-0076;3;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
6V-6609;1;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
6V-9027;1;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
8T-1703;3;1380;Seal-O-Ring;238-7590;Lines GP-Water;CCR DESARME;;;
343-8888;1;1380;Gasket;253-2635;Lines GP-Water;CCR DESARME;;;
4N-1946;1;1380;Gasket;253-2635;Lines GP-Water;CCR DESARME;;;
0R-5513;1;1380;Core AS-Oclr;253-2635;Lines GP-Water;CCR DESARME;;;
7S-8767;4;1380;Gasket;253-2635;Lines GP-Water;CCR DESARME;;;
6V-9027;9;1380;Seal-O-Ring;253-2635;Lines GP-Water;CCR DESARME;;;
10R-0817;2;1380;Core AS-Oclr;253-2635;Lines GP-Water;CCR DESARME;;;
157-0670;1;1380;Cap-Dust;253-2635;Lines GP-Water;CCR DESARME;;;
200-6410;1;1380;Seal-O-Ring;253-2635;Lines GP-Water;CCR DESARME;;;
109-0074;1;1380;Seal-O-Ring;253-2635;Lines GP-Water;CCR DESARME;;;
109-0077;2;1380;Seal-O-Ring;253-2635;Lines GP-Water;CCR DESARME;;;
154-9023;1;1380;Valve-Sampling;253-2635;Lines GP-Water;CCR DESARME;;;
5P-6619;1;1380;Seal-O-Ring;253-2635;Lines GP-Water;CCR DESARME;;;
6V-1585;1;1380;Seal-O-Ring;253-2635;Lines GP-Water;CCR DESARME;;;
6V-5063;8;1380;Seal-O-Ring;253-2635;Lines GP-Water;CCR DESARME;;;
6V-5064;1;1380;Seal-O-Ring;253-2635;Lines GP-Water;CCR DESARME;;;
6V-6609;4;1380;Seal-O-Ring;253-2635;Lines GP-Water;CCR DESARME;;;
8T-1703;1;1380;Seal-O-Ring;253-2635;Lines GP-Water;CCR DESARME;;;
8N-0879;8;1059;Clamp;253-2633;Manifold GP-Exhaust;CCR DESARME;;;
243-3565;8;1059;Seal-O-Ring;253-2633;Manifold GP-Exhaust;CCR DESARME;;;
243-3566;4;1059;Bellows AS;253-2633;Manifold GP-Exhaust;CCR DESARME;;;
393-5115;8;1059;Stud-Taperlock;253-2633;Manifold GP-Exhaust;CCR DESARME;;;
239-1388;12;1059;Gasket;253-2633;Manifold GP-Exhaust;CCR DESARME;;;
2N-2766;24;1059;Locknut;253-2633;Manifold GP-Exhaust;CCR DESARME;;;
3S-2093;4;1261;Strap-Cable;259-3111;Mounting GP-Fuel Filter;CCR DESARME;;;
275-1253;1;1261;Switch GP-Pressure;259-3111;Mounting GP-Fuel Filter;CCR DESARME;;;
276-3098;1;1261;Harness AS-Control;259-3111;Mounting GP-Fuel Filter;CCR DESARME;;;
132-5789;1;1261;Clip;259-3111;Mounting GP-Fuel Filter;CCR DESARME;;;
1R-0755;1;1261;Filter-Fuel;259-3111;Mounting GP-Fuel Filter;CCR DESARME;;;
4P-7581;1;1261;Clip;259-3111;Mounting GP-Fuel Filter;CCR DESARME;;;
6V-5048;1;1261;Seal-O-Ring;259-3111;Mounting GP-Fuel Filter;CCR DESARME;;;
8L-2786;5;1261;Seal-O-Ring;259-3111;Mounting GP-Fuel Filter;CCR DESARME;;;
353-1648;1;1302;Gasket-Oil Pan;272-1083;Pan GP-Oil;CCR DESARME;;;
214-7566;2;1201;Seal-O-Ring;351-2234;Plug GP-Cylinder Block;CCR DESARME;;;
