Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;3TZ;100-8094;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
4W-0530;4;;1380;RING-RETAINING;116-7990;LINES GP-AFTERCOOLER WATER;CCR EN&CA
4W-0531;8;;1380;RETAINER;116-7990;LINES GP-AFTERCOOLER WATER;CCR EN&CA
6J-2680;3;;1380;SEAL-O-RING;116-7990;LINES GP-AFTERCOOLER WATER;CCR EN&CA
8T-1919;4;;1380;SEAL-O-RING;116-7990;LINES GP-AFTERCOOLER WATER;CCR EN&CA
108-1434;1;;5502;GROMMET;119-6321;LINES GP-AIR COMPRESSOR;CCR EN&CA
5M-2894;2;;1316;WASHER-HARD (10.2X18.5X2.5-MM THK);119-6363;FILLER GP-ENGINE OIL;CCR EN&CA
133-5946;1;;1316;CAP AS-ENGINE OIL FILLER;119-6363;FILLER GP-ENGINE OIL;CCR EN&CA
198-2970;1;;1316;LOCKNUT (3/8-16-THD);119-6363;FILLER GP-ENGINE OIL;CCR EN&CA
6V-4314;1;;1316;SEAL-O-RING;119-6363;FILLER GP-ENGINE OIL;CCR EN&CA
8T-4896;3;;1316;WASHER-HARD (10.2X18.5X2.5-MM THK);119-6363;FILLER GP-ENGINE OIL;CCR EN&CA
111-3820;1;;1306;RING-RETAINING;123-6884;FILTER GP-ENGINE OIL;CCR EN&CA
1P-1367;4;;1306;PLUNGER (RELIEF VALVE);123-6884;FILTER GP-ENGINE OIL;CCR EN&CA
244-4484;4;;1306;FILTER-ENGINE OIL (ADVANCED EFFICIENCY);123-6884;FILTER GP-ENGINE OIL;CCR EN&CA
6V-5048;4;;1306;SEAL-O-RING;123-6884;FILTER GP-ENGINE OIL;CCR EN&CA
7G-6713;4;;1306;SPRING-MAIN;123-6884;FILTER GP-ENGINE OIL;CCR EN&CA
8C-3445;1;;1306;CAP-DUST;123-6884;FILTER GP-ENGINE OIL;CCR EN&CA
8C-3446;1;;1306;VALVE-SAMPLING;123-6884;FILTER GP-ENGINE OIL;CCR EN&CA
9Y-8387;4;;1306;GASKET;123-6884;FILTER GP-ENGINE OIL;CCR EN&CA
9Y-8388;3;;1306;GASKET;123-6884;FILTER GP-ENGINE OIL;CCR EN&CA
4F-3765;1;;1326;GASKET-SHAFT;123-6975;GAUGE GP-OIL LEVEL (DIPSTICK);CCR EN&CA
123-6997;1;;1326;GAUGE AS-OIL LEVEL (DIPSTICK);123-6975;GAUGE GP-OIL LEVEL (DIPSTICK);CCR EN&CA
