Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;7KK, 10R8903;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
7C-0307;4;;1380;Gasket;134-9932;Lines GP-Water;CCR DESARME
109-0073;1;;1380;Seal-O-Ring;134-9932;Lines GP-Water;CCR DESARME
4N-0864;1;;1380;Gasket;134-9932;Lines GP-Water;CCR DESARME
7S-8767;2;;1380;Gasket;134-9932;Lines GP-Water;CCR DESARME
109-0074;1;;1380;Seal-O-Ring;134-9932;Lines GP-Water;CCR DESARME
4N-2380;1;;1380;Spacer-Special;134-9932;Lines GP-Water;CCR DESARME
4N-2199;2;;1380;Gasket;134-9932;Lines GP-Water;CCR DESARME
109-0075;1;;1380;Seal-O-Ring;134-9932;Lines GP-Water;CCR DESARME
4N-1946;1;;1380;Gasket;134-9932;Lines GP-Water;CCR DESARME
4N-1156;2;;1380;Gasket-Regulator Cover;134-9932;Lines GP-Water;CCR DESARME
3S-9643;2;;1380;Seal-Lip Type;134-9932;Lines GP-Water;CCR DESARME
4M-1336;2;;1380;Ferrule;134-9932;Lines GP-Water;CCR DESARME
109-0072;2;;1380;Seal-O-Ring;134-9932;Lines GP-Water;CCR DESARME
109-0076;1;;1380;Seal-O-Ring;134-9932;Lines GP-Water;CCR DESARME
118-7214;1;;1380;Seal-O-Ring;134-9932;Lines GP-Water;CCR DESARME
102-2240;1;;1380;Sensor GP-Temperature;134-9932;Lines GP-Water;CCR EL&TU
112-5282;1;;1380;Seal-O-Ring;134-9932;Lines GP-Water;CCR DESARME
10R-0817;1;;1380;Core AS-Oclr;134-9932;Lines GP-Water;CCR DESARME
109-0077;2;;1380;Seal-O-Ring;134-9932;Lines GP-Water;CCR DESARME
0R-5513;1;;1380;Core AS-Oclr;134-9932;Lines GP-Water;CCR DESARME
109-0073;2;;1380;Seal-O-Ring;130-5761;Lines GP-Water;CCR DESARME
112-3258;4;;1380;Seal-O-Ring;130-5761;Lines GP-Water;CCR DESARME
4N-4307;1;;1380;Gasket;130-5761;Lines GP-Water;CCR DESARME
7C-0307;1;;1380;Gasket;130-5761;Lines GP-Water;CCR DESARME
8E-5170;1;;1380;Sleeve;130-5761;Lines GP-Water;CCR DESARME
318-1181;1;;1907;Sensor GP-Speed;113-5276;Sensor GP-Speed;CCR EL&TU
1V-6341;1;;1907;Seal;113-5276;Sensor GP-Speed;CCR DESARME
129-9452;12;;1059;Gasket-Exhaust Manifold;127-5134;Manifold GP-Exhaust;CCR DESARME
2N-2766;24;;1059;Locknut;127-5134;Manifold GP-Exhaust;CCR DESARME
100-7401;8;;1059;Seal AS-Exhaust;179-7024;Manifold GP-Exhaust;CCR DESARME
6K-8420;1;;1325;Locknut;128-2981;Oil Change GP-High Speed;CCR DESARME
9S-9272;1;;1325;Cap AS;128-2981;Oil Change GP-High Speed;CCR DESARME
9W-3258;1;;1325;Hose AS;128-2981;Oil Change GP-High Speed;CCR DESARME
4N-1151;1;;1302;Gasket;131-6205;Pan GP-Oil;CCR DESARME
6V-4589;6;;1201;Seal-O-Ring;127-3512;Plug GP-Cylinder Block;CCR DESARME
6V-4589;4;;1000;Seal-O-Ring;209-6746;Plug GP-Engine;CCR DESARME
6V-1197;1;;1714;Seal-O-Ring;126-7292;Pump & Mtg GP-Unit Inj Hyd;CCR DESARME
103-6092;1;;1714;Sensor GP-Pressure;126-7292;Pump & Mtg GP-Unit Inj Hyd;CCR EL&TU
6V-5048;2;;1714;Seal-O-Ring;126-7292;Pump & Mtg GP-Unit Inj Hyd;CCR DESARME
106-0735;1;;1714;Sensor GP-Temperature;126-7292;Pump & Mtg GP-Unit Inj Hyd;CCR EL&TU
8L-2786;2;;1714;Seal-O-Ring;126-7292;Pump & Mtg GP-Unit Inj Hyd;CCR DESARME
4P-0707;2;;1714;Clamp AS;126-7292;Pump & Mtg GP-Unit Inj Hyd;CCR DESARME
307-8373;2;;1714;Grommet;126-7292;Pump & Mtg GP-Unit Inj Hyd;CCR DESARME
033-6033;1;;1714;Seal-O-Ring;126-7292;Pump & Mtg GP-Unit Inj Hyd;CCR DESARME
3E-6747;12;;1251;Seal-O-Ring;108-7090;Pump GP-Fuel Injection;CCR DESARME
9X-7681;12;;1251;Seal-O-Ring;108-7090;Pump GP-Fuel Injection;CCR DESARME
116-7221;24;;1251;Seal-Rectangular;108-7090;Pump GP-Fuel Injection;CCR DESARME
9X-7371;1;;1361;Seal-O-Ring;4N-5837;Pump GP-Water;CCR BBA
9Y-6089;1;;1453;Gasket;105-4729;Starting Motor GP-Electric;CCR DESARME
4N-3841;2;;1435;Gasket;100-4417;Switch GP-Flow;CCR TU&EL
171-8708;2;;1435;Switch GP-Flow;100-4417;Switch GP-Flow;CCR TU&EL
7M-7273;1;;1052;Gasket;130-6228;Turbocharger GP;CCR TU&EL
2N-2765;4;;1052;Bolt-High Temperature;130-6228;Turbocharger GP;CCR TU&EL
116-7220;12;;1102;Seal-Rectangular;108-1874;Valve Mechanism GP;CCR DESARME
111-3247;1;;1408;Harness AS-Engine;118-9692;Wiring GP-Engine;CCR TU&EL
4P-7581;8;;1408;Clip;118-9692;Wiring GP-Engine;CCR TU&EL
3S-2093;20;;1408;Strap-Cable;118-9692;Wiring GP-Engine;CCR TU&EL
121-0596;1;;1408;Harness AS-Wiring;118-9692;Wiring GP-Engine;CCR TU&EL
130-5300;1;;1408;Clip;118-9692;Wiring GP-Engine;CCR TU&EL
4P-8134;4;;1408;Clip;118-9692;Wiring GP-Engine;CCR TU&EL
