Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;r120ceJGB;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
061-9455;1;1157;SEAL-O-RING;313-2148;HOUSING GP-FLYWHEEL;CCR DESAR;;;
2A-1162;1;1157;GASKET;313-2148;HOUSING GP-FLYWHEEL;CCR DESAR;;;
238-5080;1;1157;SEAL-O-RING;313-2148;HOUSING GP-FLYWHEEL;CCR TU&EL;;;
238-5084;1;1157;SEAL-O-RING;313-2148;HOUSING GP-FLYWHEEL;CCR DESAR;;;
214-7567;1;1157;SEAL-O-RING;313-2148;HOUSING GP-FLYWHEEL;CCR DESAR;;;
5D-9344;1;1157;SEAL-O-RING;313-2148;HOUSING GP-FLYWHEEL;CCR DESAR;;;
6V-1176;1;1157;PLUG-DRAIN (MAGNETIC);313-2148;HOUSING GP-FLYWHEEL;CCR DESAR;;;
5P-6727;1;1162;BALL BEARING;218-7272;HOUSING GP-FRONT;CCR DESAR;;;
8H-9789;1;1162;BALL BEARING;218-7272;HOUSING GP-FRONT;CCR DESAR;;;
257-2015;1;1162;GASKET;218-7272;HOUSING GP-FRONT;CCR DESAR;;;
223-7852;1;1162;SEAL-INTEGRAL;218-7272;HOUSING GP-FRONT;CCR DESAR;;;
226-4755;1;1162;SEAL GP-CRANKSHAFT (FRONT);218-7272;HOUSING GP-FRONT;CCR DESAR;;;
169-4166;1;1162;SEAL GP-CRANKSHAFT (FRONT);218-7272;HOUSING GP-FRONT;CCR DESAR;;;
6V-3535;2;1162;DOWEL;218-7272;HOUSING GP-FRONT;CCR DESAR;;;
117-8801;1;1162;SEAL-O-RING;218-7272;HOUSING GP-FRONT;CCR DESAR;;;
3E-8016;1;1162;BOLT-SELF-LOCKING (M8X1.25X25-MM);218-7272;HOUSING GP-FRONT;CCR DESAR;;;
127-0929;1;1071;CLAMP-V BAND;126-0081;LINES GP-AIR -TURBOCHARGER OUTLET;CCR DESAR;;;
214-7566;1;1071;SEAL-O-RING;126-0081;LINES GP-AIR -TURBOCHARGER OUTLET;CCR DESAR;;;
8C-3089;1;1071;SEAL-O-RING;126-0081;LINES GP-AIR -TURBOCHARGER OUTLET;CCR DESAR;;;
248-4840;1;1071;CAP-PROTECTIVE;241-4761;LINES GP-AIR -INTAKE;CCR DESAR;;;
248-4841;1;1071;CLAMP-BAND;241-4761;LINES GP-AIR -INTAKE;CCR DESAR;;;
214-7566;1;1071;SEAL-O-RING;241-4761;LINES GP-AIR -INTAKE;CCR DESAR;;;
238-5084;4;1307;SEAL-O-RING;423-4639;LINES GP-ENGINE OIL;CCR DESAR;;;
423-4640;1;1307;HOSE AS;423-4639;LINES GP-ENGINE OIL;CCR DESAR;;;
423-4641;1;1307;HOSE AS;423-4639;LINES GP-ENGINE OIL;CCR DESAR;;;
228-7093;2;1307;SEAL-O-RING;423-4639;LINES GP-ENGINE OIL;CCR DESAR;;;
8C-3445;1;1307;CAP-DUST;423-4639;LINES GP-ENGINE OIL;CCR DESAR;;;
8C-3446;1;1307;VALVE-SAMPLING;423-4639;LINES GP-ENGINE OIL;CCR DESAR;;;
214-7566;1;1307;SEAL-O-RING;423-4639;LINES GP-ENGINE OIL;CCR DESAR;;;
4P-0902;1;1274;HOSE AS;434-7442;LINES GP-FUEL;CCR DESAR;;;
194-3464;1;1274;HOSE AS;434-7442;LINES GP-FUEL;CCR DESAR;;;
244-4884;1;1274;HOSE AS;434-7442;LINES GP-FUEL;CCR DESAR;;;
214-7568;2;1274;SEAL-O-RING;434-7442;LINES GP-FUEL;CCR DESAR;;;
238-5080;2;1274;SEAL-O-RING;434-7442;LINES GP-FUEL;CCR DESAR;;;
327-0377;1;1715;VALVE-CHECK;352-8928;REGULATOR GP-FUEL PRESSURE;CCR DESAR;;;
331-6882;1;1715;REGULATOR GP-FUEL PRESSURE;352-8928;REGULATOR GP-FUEL PRESSURE;CCR DESAR;;;
214-7568;1;1715;SEAL-O-RING;352-8928;REGULATOR GP-FUEL PRESSURE;CCR DESAR;;;
238-5080;1;1715;SEAL-O-RING;352-8928;REGULATOR GP-FUEL PRESSURE;CCR DESAR;;;
197-8418;1;1052;GASKET;424-6826;LINES GP-TURBOCHARGER OIL;CCR DESAR;;;
224-8171;1;1052;HOSE AS;424-6826;LINES GP-TURBOCHARGER OIL;CCR DESAR;;;
498-9897;1;1052;TUBE AS;424-6826;LINES GP-TURBOCHARGER OIL;CCR DESAR;;;
197-8419;1;1052;GASKET;424-6826;LINES GP-TURBOCHARGER OIL;CCR DESAR;;;
225-6948;1;1052;SEAL-O-RING;424-6826;LINES GP-TURBOCHARGER OIL;CCR DESAR;;;
214-7568;1;1052;SEAL-O-RING;424-6826;LINES GP-TURBOCHARGER OIL;CCR DESAR;;;
228-7090;1;1052;SEAL-O-RING;424-6826;LINES GP-TURBOCHARGER OIL;CCR DESAR;;;
3S-2093;1;1052;STRAP-CABLE;220-7057;LINES GP-TURBOCHARGER WATER;CCR DESAR;;;
220-7058;1;1052;HOSE AS;220-7057;LINES GP-TURBOCHARGER WATER;CCR DESAR;;;
242-7477;1;1052;HOSE AS;220-7057;LINES GP-TURBOCHARGER WATER;CCR DESAR;;;
238-5080;1;1052;SEAL-O-RING;220-7057;LINES GP-TURBOCHARGER WATER;CCR DESAR;;;
6V-5063;1;1052;SEAL-O-RING;220-7057;LINES GP-TURBOCHARGER WATER;CCR DESAR;;;
132-5789;1;1052;CLIP (LADDER);220-7057;LINES GP-TURBOCHARGER WATER;CCR DESAR;;;
248-5513;1;1380;REGULATOR-WATER TEMPERATURE (92-DEG C)(COOLANT);235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
157-0670;1;1380;CAP-DUST;235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
224-6361;1;1380;SEAL;235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
227-5075;1;1380;SEAL (TEMPERATURE REGULATOR HOUSING);235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
3S-9643;1;1380;SEAL-LIP TYPE (WATER TEMPERATURE REGULATOR);235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
9X-7380;1;1380;SEAL-O-RING;235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
